2,1,3,14,4,13,5,6,11,10,7,8,9,12,15
4,3,1,2,15,14,5,6,7,9,8,10,13,12,11
11,1,10,5,4,3,2,8,6,7,9,15,14,13,12
15,14,1,12,2,3,11,7,4,6,5,8,9,10,13
15,5,4,2,1,3,14,6,13,12,7,8,10,9,11
1,2,3,15,14,13,12,10,6,4,5,9,8,7,11
15,1,9,8,7,2,3,6,4,5,13,10,12,11,14
13,12,1,2,11,10,9,4,3,5,8,6,7,15,14
2,1,8,3,5,4,6,7,10,9,11,15,14,13,12
4,3,2,1,7,6,5,15,11,9,8,10,14,13,12
1,2,3,4,15,5,14,12,6,7,11,10,8,9,13
1,15,13,2,12,3,11,10,4,5,8,6,7,9,14
1,2,15,14,5,4,3,13,12,6,7,9,8,11,10
1,15,12,2,3,5,4,6,7,11,8,10,9,14,13
1,4,2,3,9,8,5,6,7,10,12,11,13,14,15
13,6,1,4,3,2,5,11,7,9,8,10,12,14,15
2,1,3,4,6,5,12,7,8,11,10,9,14,13,15
2,1,14,4,3,12,6,5,11,10,7,9,8,13,15
15,1,14,2,13,3,12,10,6,5,4,8,7,9,11
10,1,3,2,5,4,7,6,9,8,11,13,12,14,15
1,2,4,3,15,13,12,5,8,6,7,9,11,10,14
1,2,3,15,5,4,10,9,7,6,8,11,12,13,14
15,14,1,12,9,2,3,4,5,7,6,8,11,10,13
15,14,12,1,2,11,3,9,6,5,4,8,7,10,13
4,3,1,2,5,13,6,8,7,11,9,10,12,14,15
15,1,2,14,12,11,10,9,4,3,7,5,6,8,13
2,1,14,13,3,12,6,5,4,9,7,8,10,11,15
1,2,15,13,8,3,4,6,5,7,9,12,11,10,14
14,1,13,11,9,2,3,8,4,6,5,7,10,12,15
2,1,15,3,4,5,6,13,7,10,8,9,11,12,14
15,3,2,1,5,4,14,12,7,6,11,9,8,10,13
2,1,15,3,5,4,6,12,10,7,9,8,11,14,13
14,9,2,1,6,5,3,4,8,7,10,11,12,13,15
5,4,1,2,3,15,7,6,14,8,12,11,10,9,13
15,14,5,4,1,3,2,13,6,7,8,11,10,9,12
1,15,3,2,5,4,12,11,6,10,9,8,7,13,14
11,1,2,9,3,8,4,5,6,7,10,12,13,15,14
15,1,14,2,7,3,6,4,5,13,9,8,10,11,12
5,3,2,1,4,6,11,10,9,7,8,15,14,13,12
2,1,15,3,7,6,4,5,13,8,11,10,9,12,14
1,12,4,3,2,6,5,10,7,8,9,11,15,14,13
1,3,2,15,5,4,11,10,6,7,8,9,12,14,13
1,15,14,4,3,2,13,12,10,5,6,9,7,8,11
15,10,9,7,2,1,5,3,4,6,8,14,13,11,12
1,2,3,4,5,14,7,6,13,8,9,10,11,12,15
1,2,5,3,4,11,6,7,8,10,9,15,12,14,13
15,10,9,1,7,3,2,4,5,6,8,14,13,12,11
2,1,4,3,14,5,11,10,6,7,9,8,13,12,15
1,2,15,13,12,10,3,6,5,4,7,8,9,11,14
